2024-12-22 13:31:51,138 INFO package: mysql.connector.plugins
2024-12-22 13:31:51,138 INFO plugin_name: caching_sha2_password
2024-12-22 13:31:51,138 INFO AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-12-22 13:32:26,186 INFO Block IDs to ignore: {17962373, 17963269, 19409169, 12884626, 22920853, 17962399, 17962292, 17962807, 19394871, 19394874, 22526909, 12884542, 18913349, 12884556, 14909406, 17962862, 19952369, 19938035, 17962356, 17962997, 17962233, 21726719}
2024-12-22 13:32:26,186 INFO Processing batch from block_id 0 to 1000000
2024-12-22 13:32:27,216 INFO Processing batch from block_id 1000000 to 2000000
2024-12-22 13:32:27,728 INFO Processing batch from block_id 2000000 to 3000000
2024-12-22 13:32:28,236 INFO Processing batch from block_id 3000000 to 4000000
2024-12-22 13:32:28,472 INFO Processing batch from block_id 4000000 to 5000000
2024-12-22 13:32:29,594 INFO Block ID: 5900985, Extrinsic Index: 7, Event Index: 32, Transaction: {'from': '121nv5w18EetJXJkAfjPBd6BCAJDgzDUCBzbCs2uVPSVeGzq', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,594 INFO Block ID: 5900986, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '121rWhvKdP8RS6gAyc9TJwedmaUmrEzxQg5F854WQXjT4MeZ', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,594 INFO Block ID: 5900986, Extrinsic Index: 2, Event Index: 7, Transaction: {'from': '121SB6ikUQWvdEt3grKN5xz46eE7dTPbyBPBLgKDjrmwJsNL', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,597 INFO Block ID: 5900986, Extrinsic Index: 3, Event Index: 12, Transaction: {'from': '123Mfz2Vjscmgnin5j1Z9K5GWmvwdNXWgQu9DC6hjFUmufQw', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,597 INFO Block ID: 5900986, Extrinsic Index: 4, Event Index: 17, Transaction: {'from': '123uaQzeJZDESpipxHXbktE51nNmSP5f7nJiV3D6htbuUJgC', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,597 INFO Block ID: 5900986, Extrinsic Index: 5, Event Index: 22, Transaction: {'from': '123us9cVKsH8aLwN51dwPddj2DQzWuNvW81vyyKjojX2RdWh', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,599 INFO Block ID: 5900986, Extrinsic Index: 6, Event Index: 27, Transaction: {'from': '1243VN5GPTQq9rUGdiPEDkaBdjE8Zg6jRjqbBNpq9wVNispC', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,599 INFO Block ID: 5900986, Extrinsic Index: 7, Event Index: 32, Transaction: {'from': '1249FoQ7Dt2nWMvMUfqoMjLJU7sxVpx5HsWw7cfxAv4tRqwu', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,599 INFO Block ID: 5900986, Extrinsic Index: 8, Event Index: 37, Transaction: {'from': '124QDoogTP88b5YLhYtNYFooVYsCv1wfzNY5bHuP4TQfoqSA', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,599 INFO Block ID: 5900986, Extrinsic Index: 9, Event Index: 42, Transaction: {'from': '125wo6oyD2tZ8sMaXmsszuwEYJDzk6BkH2Kz7qctuWWyyArg', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,599 INFO Block ID: 5900986, Extrinsic Index: 10, Event Index: 47, Transaction: {'from': '125ws2dLZ7JvF12XooEsESFMXhKWHM4F21umDMAmQiMmqpXn', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
